Element;Z;Total;1s1/2;2s1/2;2p1/2;2p3/2;3s1/2;3p1/2;3p3/2;3d3/2;3d5/2;4s1/2;4p1/2;4p3/2;4d3/2;4d5/2;4f5/2;4f7/2;5s1/2;5p1/2;5p3/2;5d3/2;5d5/2;5f5/2;5f7/2;6s1/2;6p1/2;6p3/2;6d3/2;6d5/2;7s1/2
H;1;0.0002;0.0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;
He;2;0.0082;0.0082;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Li;3;0.0576;0.0568;0.0008;;;;;;;;;;;;;;;;;;;;;;;;;;;
Be;4;0.2019;0.1947;0.0072;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;5;0.5082;0.486;0.022;0.0001;0.0001;;;;;;;;;;;;;;;;;;;;;;;;;
C;6;1.0492;1;0.0477;0.0005;0.001;;;;;;;;;;;;;;;;;;;;;;;;;
N;7;1.8932;1.8;0.0867;0.0022;0.0043;;;;;;;;;;;;;;;;;;;;;;;;;
O;8;3.0898;2.93;0.1405;0.0065;0.0128;;;;;;;;;;;;;;;;;;;;;;;;;
F;9;4.6878;4.43;0.21;0.0161;0.0317;;;;;;;;;;;;;;;;;;;;;;;;;
Ne;10;6.699;6.3;0.296;0.0347;0.0683;;;;;;;;;;;;;;;;;;;;;;;;;
Na;11;9.1425;8.52;0.422;0.0654;0.1287;0.0064;;;;;;;;;;;;;;;;;;;;;;;;
Mg;12;12.117;11.18;0.575;0.1125;0.221;0.0285;;;;;;;;;;;;;;;;;;;;;;;;
Al;13;1.3469;;0.753;0.1811;0.356;0.0535;0.0011;0.0022;;;;;;;;;;;;;;;;;;;;;;
Si;14;1.8668;;0.955;0.276;0.541;0.0808;0.0047;0.0093;;;;;;;;;;;;;;;;;;;;;;
P;15;2.5204;;1.18;0.403;0.789;0.1116;0.0124;0.0244;;;;;;;;;;;;;;;;;;;;;;
S;16;3.3309;;1.43;0.567;1.11;0.1465;0.0262;0.0512;;;;;;;;;;;;;;;;;;;;;;
Cl;17;4.3035;;1.69;0.775;1.51;0.1852;0.0486;0.0947;;;;;;;;;;;;;;;;;;;;;;
Ar;18;5.4788;;1.97;1.03;2.01;0.227;0.0821;0.1597;;;;;;;;;;;;;;;;;;;;;;
K;19;6.9248;;2.27;1.35;2.65;0.286;0.1229;0.239;;;0.0069;;;;;;;;;;;;;;;;;;;
Ca;20;8.5448;;2.59;1.72;3.35;0.351;0.172;0.335;;;0.0268;;;;;;;;;;;;;;;;;;;
Sc;21;10.3866;;2.91;2.17;4.21;0.411;0.221;0.429;0.0017;0.0025;0.0314;;;;;;;;;;;;;;;;;;;
Ti;22;12.4851;;3.24;2.69;5.22;0.473;0.276;0.537;0.0055;0.0081;0.0355;;;;;;;;;;;;;;;;;;;
V;23;14.8343;;3.57;3.29;6.37;0.538;0.339;0.657;0.0125;0.0184;0.0394;;;;;;;;;;;;;;;;;;;
Cr;24;17.4302;;3.91;3.98;7.69;0.596;0.4;0.773;0.0264;0.0387;0.0161;;;;;;;;;;;;;;;;;;;
Mn;25;20.7696;;4.23;4.74;9.17;0.674;0.485;0.938;0.424;0.0622;0.0464;;;;;;;;;;;;;;;;;;;
Fe;26;23.6248;;4.57;5.6;10.82;0.745;0.569;1.1;0.0694;0.1017;0.0497;;;;;;;;;;;;;;;;;;;
Co;27;27.1073;;4.88;6.54;12.62;0.818;0.66;1.27;0.1082;0.1582;0.0529;;;;;;;;;;;;;;;;;;;
Ni;28;30.8029;;5.06;7.57;14.61;0.892;0.757;1.46;0.1619;0.236;0.056;;;;;;;;;;;;;;;;;;;
Cu;29;34.8961;;5.46;8.66;16.73;0.957;0.848;1.63;0.24;0.349;0.0221;;;;;;;;;;;;;;;;;;;
Zn;30;39.2198;;5.76;9.8;18.92;1.04;0.968;1.86;0.33;0.48;0.0618;;;;;;;;;;;;;;;;;;;
Ga;31;44.091;;6.07;11.09;21.4;1.13;1.1;2.11;0.442;0.643;0.0882;0.0062;0.0116;;;;;;;;;;;;;;;;;
Ge;32;49.4295;;6.31;12.52;24.15;1.23;1.24;2.39;0.578;0.842;0.1119;0.0199;0.0377;;;;;;;;;;;;;;;;;
As;33;48.7276;;;14.07;27.19;1.32;1.39;2.68;0.741;1.08;0.1357;0.0417;0.0792;;;;;;;;;;;;;;;;;
Se;34;51.1845;;;13.66;28.9;1.43;1.55;2.98;0.934;1.36;0.1605;0.0724;0.1376;;;;;;;;;;;;;;;;;
Br;35;9.9142;;;;;1.53;1.72;3.31;1.16;1.68;0.1863;0.1129;0.215;;;;;;;;;;;;;;;;;
Kr;36;11.3493;;;;;1.64;1.89;3.65;1.42;2.06;0.213;0.1643;0.312;;;;;;;;;;;;;;;;;
Rb;37;12.913;;;;;1.75;2.07;4;1.72;2.49;0.251;0.214;0.411;;;0.007;;;;;;;;;;;;;;
Sr;38;14.6211;;;;;1.86;2.25;4.37;2.06;2.99;0.291;0.265;0.51;;;0.0251;;;;;;;;;;;;;;
Y;39;16.4503;;;;;1.98;2.44;4.75;2.44;3.54;0.329;0.311;0.599;0.0126;0.0181;0.0306;;;;;;;;;;;;;;
Zr;40;18.4528;;;;;2.1;2.64;5.14;2.87;4.17;0.367;0.357;0.689;0.0348;0.0502;0.0348;;;;;;;;;;;;;;
Nb;41;20.5805;;;;;2.22;2.84;5.53;3.35;4.86;0.402;0.398;0.767;0.0812;0.1166;0.0157;;;;;;;;;;;;;;
Mo;42;22.8981;;;;;2.34;3.04;5.94;3.88;5.62;0.44;0.445;0.86;0.1298;0.1864;0.0169;;;;;;;;;;;;;;
Tc;43;25.3863;;;;;2.45;3.23;6.36;4.46;6.47;0.479;0.494;0.955;0.1934;0.277;0.0179;;;;;;;;;;;;;;
Ru;44;28.0788;;;;;2.57;3.44;6.78;5.1;7.39;0.519;0.544;1.05;0.274;0.393;0.0188;;;;;;;;;;;;;;
Rh;45;30.9727;;;;;2.7;3.64;7.21;5.8;8.39;0.56;0.595;1.15;0.373;0.535;0.0197;;;;;;;;;;;;;;
Pd;46;34.004;;;;;2.81;3.83;7.63;6.54;9.48;0.598;0.641;1.24;0.51;0.725;;;;;;;;;;;;;;;
Ag;47;37.3348;;;;;2.93;4.03;8.06;7.38;10.66;0.644;0.7;1.36;0.638;0.911;0.0218;;;;;;;;;;;;;;
Cd;48;40.8678;;;;;3.04;4.22;8.5;8.27;11.95;0.692;0.762;1.49;0.778;1.11;0.0558;;;;;;;;;;;;;;
In;49;44.59;;;;;3.16;4.4;8.93;9.22;13.32;0.742;0.828;1.62;0.935;1.34;;;0.0755;0.0069;0.0126;;;;;;;;;;
Sn;50;48.5512;;;;;3.26;4.58;9.35;10.25;14.8;0.794;0.897;1.77;1.11;1.59;;;0.0922;0.0203;0.0377;;;;;;;;;;
Sb;51;52.719;;;;;3.36;4.76;9.77;11.35;16.39;0.848;0.968;1.91;1.29;1.85;;;0.1085;0.0398;0.0747;;;;;;;;;;
Te;52;57.1271;;;;;3.46;4.92;10.21;12.52;18.06;0.903;1.04;2.07;1.49;2.14;;;0.1251;0.0653;0.1237;;;;;;;;;;
I;53;61.7039;;;;;3.53;5.06;10.62;13.77;19.87;0.959;1.11;2.23;1.69;2.44;;;0.1421;0.0974;0.1854;;;;;;;;;;
Xe;54;66.5357;;;;;3.62;5.2;10.99;15.1;21.79;1.02;1.19;2.39;1.92;2.76;;;0.1596;0.1361;0.26;;;;;;;;;;
Cs;55;71.4719;;;;;3.73;5.29;11.38;16.46;23.76;1.08;1.27;2.56;2.15;3.1;;;0.1843;0.1697;0.332;;;;;0.0059;;;;;
Ba;56;76.6226;;;;;3.84;5.42;11.71;17.92;25.84;1.13;1.34;2.73;2.4;3.46;;;0.21;0.202;0.4;;;;;0.0206;;;;;
La;57;82.2064;;;;;3.89;5.55;12.11;19.5;28.12;1.19;1.42;2.91;2.67;3.85;;;0.234;0.23;0.458;0.0205;0.0291;;;0.0248;;;;;
Ce;58;87.4604;;;;;3.93;5.66;12.53;21.12;30.5;1.24;1.47;3.03;2.84;4.09;0.0609;0.078;0.23;0.221;0.439;;;;;0.0215;;;;;
Pr;59;92.9093;;;;;3.98;5.76;12.94;22.72;32.85;1.28;1.53;3.17;3.07;4.41;0.1115;0.143;0.238;0.229;0.456;;;;;0.0218;;;;;
Nd;60;94.3039;;;;;;5.75;13.35;24.27;35.29;1.33;1.59;3.31;3.29;4.74;0.1788;0.228;0.247;0.236;0.472;;;;;0.0221;;;;;
Pm;61;99.7804;;;;;;5.72;13.66;26.08;37.65;1.38;1.64;3.45;3.52;5.07;0.265;0.339;0.254;0.243;0.487;;;;;0.0224;;;;;
Sm;62;99.9246;;;;;;;13.84;27.96;40.37;1.42;1.7;3.59;3.76;5.4;0.374;0.477;0.261;0.249;0.501;;;;;0.0226;;;;;
