Element;Z;Total;1s1/2;2s1/2;2p1/2;2p3/2;3s1/2;3p1/2;3p3/2;3d3/2;3d5/2;4s1/2;4p1/2;4p3/2;4d3/2;4d5/2;4f5/2;4f7/2;5s1/2;5p1/2;5p3/2;5d3/2;5d5/2;5f5/2;5f7/2;6s1/2;6p1/2;6p3/2;6d3/2;6d5/2;7s1/2
H;1;0.0002;0.0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;
He;2;0.0087;0.0087;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Li;3;0.0601;0.0593;0.0008;;;;;;;;;;;;;;;;;;;;;;;;;;;
Be;4;0.2071;0.1997;0.0074;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;5;0.4943;0.492;0.002;0.0001;0.0002;;;;;;;;;;;;;;;;;;;;;;;;;
C;6;1.0488;1;0.047;0.0006;0.0012;;;;;;;;;;;;;;;;;;;;;;;;;
N;7;1.8615;1.77;0.0841;0.0025;0.0049;;;;;;;;;;;;;;;;;;;;;;;;;
O;8;3.0063;2.85;0.1345;0.0073;0.0145;;;;;;;;;;;;;;;;;;;;;;;;;
F;9;4.5118;4.26;0.1988;0.0178;0.0352;;;;;;;;;;;;;;;;;;;;;;;;;
Ne;10;6.3402;5.95;0.277;0.0381;0.0751;;;;;;;;;;;;;;;;;;;;;;;;;
Na;11;8.5979;7.99;0.39;0.0714;0.1406;0.0059;;;;;;;;;;;;;;;;;;;;;;;;
Mg;12;0.9115;;0.525;0.1214;0.239;0.0261;;;;;;;;;;;;;;;;;;;;;;;;
Al;13;1.3065;;0.681;0.1935;0.38;0.0485;0.0012;0.0023;;;;;;;;;;;;;;;;;;;;;;
Si;14;1.8073;;0.855;0.292;0.573;0.0726;0.005;0.0097;;;;;;;;;;;;;;;;;;;;;;
P;15;2.438;;1.05;0.422;0.828;0.0998;0.0129;0.0253;;;;;;;;;;;;;;;;;;;;;;
S;16;3.1998;;1.25;0.59;1.15;0.1302;0.0269;0.0527;;;;;;;;;;;;;;;;;;;;;;
Cl;17;4.1489;;1.48;0.8;1.56;0.1632;0.0493;0.0964;;;;;;;;;;;;;;;;;;;;;;
Ar;18;5.2817;;1.71;1.06;2.07;0.1989;0.0823;0.1605;;;;;;;;;;;;;;;;;;;;;;
K;19;6.6052;;1.95;1.37;2.67;0.249;0.1221;0.238;;;0.0061;;;;;;;;;;;;;;;;;;;
Ca;20;8.1676;;2.21;1.74;3.39;0.305;0.1693;0.33;;;0.0233;;;;;;;;;;;;;;;;;;;
Sc;21;9.9043;;2.46;2.18;4.24;0.356;0.216;0.42;0.002;0.003;0.0273;;;;;;;;;;;;;;;;;;;
Ti;22;11.8637;;2.72;2.68;5.22;0.408;0.268;0.521;0.0064;0.0095;0.0308;;;;;;;;;;;;;;;;;;;
V;23;14.0607;;2.98;3.26;6.33;0.462;0.326;0.633;0.0145;0.0213;0.0339;;;;;;;;;;;;;;;;;;;
Cr;24;16.4717;;3.23;3.92;7.6;0.511;0.382;0.74;0.0303;0.0445;0.0139;;;;;;;;;;;;;;;;;;;
Mn;25;19.1863;;3.48;4.63;8.99;0.575;0.46;0.892;0.0484;0.0711;0.0398;;;;;;;;;;;;;;;;;;;
Fe;26;22.1159;;3.7;5.43;10.54;0.634;0.535;1.04;0.0788;0.1156;0.0425;;;;;;;;;;;;;;;;;;;
Co;27;25.2448;;3.92;6.28;12.2;0.693;0.616;1.19;0.122;0.1787;0.0451;;;;;;;;;;;;;;;;;;;
Ni;28;28.568;;4.16;7.18;13.92;0.753;0.701;1.36;0.1814;0.265;0.0476;;;;;;;;;;;;;;;;;;;
Cu;29;32.1908;;4.38;8.18;15.87;0.805;0.779;1.5;0.268;0.39;0.0188;;;;;;;;;;;;;;;;;;;
Zn;30;36.254;;4.55;9.29;18.01;0.873;0.882;1.7;0.365;0.532;0.052;;;;;;;;;;;;;;;;;;;
Ga;31;36.1714;;;10.56;20.47;0.945;0.993;1.92;0.485;0.708;0.0742;0.0056;0.0106;;;;;;;;;;;;;;;;;
Ge;32;27.1968;;;;21.22;1.02;1.11;2.15;0.631;0.92;0.0939;0.0179;0.034;;;;;;;;;;;;;;;;;
As;33;6.9339;;;;;1.1;1.24;2.4;0.802;1.17;0.1137;0.0372;0.071;;;;;;;;;;;;;;;;;
Se;34;7.9813;;;;;1.18;1.37;2.65;1;1.46;0.1343;0.0642;0.1228;;;;;;;;;;;;;;;;;
Br;35;9.1659;;;;;1.26;1.5;2.92;1.24;1.8;0.1557;0.0996;0.1906;;;;;;;;;;;;;;;;;
Kr;36;10.478;;;;;1.35;1.64;3.2;1.5;2.19;0.1779;0.1441;0.276;;;;;;;;;;;;;;;;;
Rb;37;11.9026;;;;;1.43;1.79;3.48;1.81;2.63;0.209;0.1868;0.361;;;;;0.0058;;;;;;;;;;;;
Sr;38;13.4579;;;;;1.52;1.93;3.78;2.15;3.14;0.242;0.23;0.445;;;;;0.0209;;;;;;;;;;;;
Y;39;15.1388;;;;;1.61;2.08;4.09;2.54;3.7;0.273;0.268;0.521;0.0128;0.0185;;;0.0255;;;;;;;;;;;;
Zr;40;16.9633;;;;;1.7;2.24;4.4;2.97;4.33;0.305;0.307;0.596;0.0353;0.051;;;0.029;;;;;;;;;;;;
Nb;41;18.8963;;;;;1.79;2.39;4.71;3.45;5.01;0.333;0.34;0.661;0.0816;0.1176;;;0.0131;;;;;;;;;;;;
Mo;42;21.0032;;;;;1.89;2.54;5.03;3.97;5.77;0.364;0.37;0.739;0.1296;0.1865;;;0.0141;;;;;;;;;;;;
Tc;43;23.2864;;;;;1.98;2.69;5.36;4.54;6.6;0.397;0.419;0.818;0.1915;0.276;;;0.0149;;;;;;;;;;;;
Ru;44;25.7297;;;;;2.07;2.84;5.68;5.17;7.51;0.429;0.46;0.899;0.269;0.387;;;0.0157;;;;;;;;;;;;
Rh;45;28.3004;;;;;2.15;2.98;6;5.84;8.48;0.463;0.501;0.981;0.365;0.524;;;0.0164;;;;;;;;;;;;
Pd;46;31.104;;;;;2.24;3.12;6.33;6.58;9.54;0.494;0.538;1.06;0.495;0.707;;;;;;;;;;;;;;;
Ag;47;34.0446;;;;;2.33;3.25;6.64;7.36;10.68;0.531;0.586;1.15;0.616;0.884;;;0.0176;;;;;;;;;;;;
Cd;48;37.2094;;;;;2.4;3.39;6.96;8.22;11.91;0.571;0.636;1.26;0.747;1.07;;;0.0454;;;;;;;;;;;;
